#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hallo!
279d = Bekämpfe die Gumbaplage auf\nMarios Piste, so schnell du\nkannst! Setzt du die Items\nsinnvoll ein, könnte dir das\nwertvolle Zeit verschaffen!\nAchtung: Nur für Karts!
279e = Bist du ein Wii Wheel-Ass? Dann kannst\ndu das nun beweisen! Schnapp dir dein\nWii Wheel - ohne geht's nicht! Auf\nItems musst du in diesem Versus-Rennen\nauf Luigis Piste, nur für Bikes,\nverzichten. Nutze den Windschatten!
279f = Vor dem wunderschönen\nPeach Beach (GCN) wachsen\nTrampolin-Pilze! Passt das?\nBei diesem Zeitfahren empfiehlt\nsich der Automatik-Drift.
27a0 = Fahre in fahlem Mondlicht ein\nZeitfahren auf der mondänen\nMondblickstraße! Aber achte\nauf den Verkehr, der dieses\nMal irgendwie verkehrt zu\nsein scheint ...
27a1 = Fahre ein Zeitfahren auf dem\nbelebten Piazzale Delfino (DS)!\nDabei musst du unzerbrechlichen\nHolzkisten und Gumbas ausweichen\nund Wegsperrungen einplanen!\nAlso, Augen auf im Straßenverkehr!

27f0 = Wettbewerbe
27d8 = Zeitfahren
27da = Zeitfahren
27d9 = Versus-Rennen
27db = Gegner-Punkte
27dc = Boss-Kampf
27dd = Boss-VS-Rennen
27de = Münzherausforderung
27df = Tor-Herausforderung
27f1 = %02d. Wettbewerb
27f2 = Wettbewerbsmuseum
2800 = Dein Rang wird nicht gespeichert,\nwenn du diesen Controller benutzt.\nIst das OK?
2801 = Speichern von Geisterdaten
2802 = Geisterdaten auf der SD Card speichern?
2803 = Immer speichern
2804 = Schnellste Zeit speichern
2805 = Nicht speichern
2806 = Das Speichern der Geisterdaten\nwurde auf "Immer" gesetzt.\n\nGeisterdaten werden nur gespeichert,\nwenn du Riivolution verwendest.
2807 = Das Speichern der Geisterdaten\nwurde auf "Schnellste Zeit"\ngesetzt.\n\nGeisterdaten werden nur gespeichert,\nwenn du Riivolution verwendest.
2808 = Das Speichern der Geisterdaten\nwurde deaktiviert.\n\nGeisterdaten werden nur gespeichert,\nwenn du Riivolution verwendest.

 18697	/
 18698	/
 18699	/
 1869a	/
 1869b	/
 1869c	/
 1869d	/
 1869e	/

